"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Moussa Diabate","Cha","F","23","41","18.7","10.6","22.9","58","0.552","126","0.619","2","0","0.609","0.612","4.6","6.9","0.8","0.7","0.7","0.9","11.5","5.3","12.3","6.3","120.1","106.3"
"","Moses Moody","Gol","G","22.7","43","18.5","19.1","9.3","69","0.725","115","0.513","186","0.398","0.565","0.588","9.1","2.2","1.1","0.5","0.3","0.7","11.2","10.2","12.3","6.1","114.5","111.6"
"","Quinten Post","Gol","C","24.9","13","14.1","19.9","8.3","7","1","30","0.567","47","0.362","0.552","0.574","7.1","3.4","1.8","0.2","0.2","0.5","10.5","8.8","12.2","10","121.1","102.6"
"","Trendon Watford","Bro","G-F","24.2","16","16.3","23.5","17","37","0.811","71","0.493","31","0.29","0.475","0.537","7.9","3","1.3","0.4","0.3","1.3","10.9","9.2","12.2","7.7","100.1","103.4"
"","Donovan Clingan","Por","C","21","38","16.1","14.8","22.3","38","0.658","131","0.565","22","0.273","0.542","0.563","5","6.4","0.7","0.4","1.5","1.2","11.5","5.8","12.2","7","109.7","99.2"
"","Mason Plumlee","Pho","F-C","34.9","49","17.5","10.7","25.1","73","0.616","129","0.581","2","0","0.573","0.598","4","6.4","1.9","0.4","0.8","0.9","10.3","5.9","12.2","8.3","124.2","102.9"
"","Trey Lyles","Sac","F","29.3","41","19.6","14.2","9.2","44","0.75","73","0.521","153","0.34","0.513","0.54","6.5","4.6","1","0.6","0.5","0.6","11.1","7.4","12","6.3","112.9","110.8"
"","Kris Dunn","Lac","G","30.9","44","22.5","13.6","16.1","14","0.5","123","0.537","133","0.293","0.486","0.488","5.8","3.3","2.8","1.5","0.3","1.1","9.2","8.6","11.9","6.7","102.9","100.2"
"","Jarred Vanderbilt","Lal","F","25.9","6","15.7","11.1","18","4","0.5","14","0.571","4","0.25","0.528","0.531","3.5","6.8","1.5","1.8","0.2","0.7","10.3","5","11.8","8.4","125.7","93.4"
"","Josh Green","Cha","G","24.2","45","28.6","11","12.8","50","0.7","116","0.474","156","0.41","0.555","0.573","7.5","2.8","1.5","1.1","0.2","0.9","10.3","9","11.8","4.4","114.1","109.8"
"","Vit Krejci","Atl","G","24.6","36","20.3","13.4","14.8","27","0.704","66","0.561","129","0.372","0.559","0.573","6.6","2.4","2.5","0.7","0.5","0.9","9","9.1","11.6","6.7","113","109.7"
"","Drew Eubanks","Uta","F-C","28","37","15.4","14.9","17.6","57","0.632","140","0.607","5","0.6","0.617","0.632","5.8","4.5","1.2","0.3","0.9","0.8","10.4","7","11.6","8.2","120.1","111.8"
"","Shake Milton","Bro","G","28.4","27","18.2","17.2","11.3","33","0.758","85","0.529","72","0.389","0.554","0.58","7.4","1.9","2.4","0.6","0","0.7","9.3","9.7","11.6","7.1","119.3","112.1"
"","Luke Kornet","Bos","C-F","29.6","46","16.9","10.8","11.4","61","0.754","147","0.646","0","0","0.646","0.679","5.1","4.9","1.6","0.5","0.9","0.4","10.1","6.7","11.6","8.1","150.6","104.6"
"","Vince Williams Jr.","Mem","G","24.4","4","14.5","22.9","22.5","5","0.2","16","0.5","8","0.125","0.396","0.382","5","3.8","2.8","0.5","0.5","1.8","8.8","7.8","11.5","10.4","87.7","99.4"
"","Ja'Kobe Walter","Tor","G","20.4","32","19.2","18.3","10.2","49","0.714","115","0.487","105","0.305","0.473","0.503","7.6","2.4","1.5","0.7","0.2","0.8","10","9.1","11.5","6.3","103.9","112.2"
"","Keon Ellis","Sac","G","25.1","49","21.9","13.1","13.4","53","0.868","80","0.575","184","0.435","0.629","0.658","7.7","2.4","1.3","1.4","0.8","0.8","10.1","9","11.4","5.3","123.3","109.4"
"","Sam Hauser","Bos","F","27.2","43","19.9","14.2","5.7","2","1","36","0.694","226","0.398","0.611","0.612","7.5","2.9","1","0.7","0.2","0.4","10.4","8.5","11.4","5.6","123.3","109.3"
"","Jeremiah Robinson-Earl","Nor","F","24.3","42","17.9","13.7","12.5","29","0.862","109","0.56","93","0.301","0.51","0.538","5.5","4.7","1.2","0.7","0.1","0.7","10.2","6.7","11.4","7","114.5","114.7"
"","Oscar Tshiebwe","Uta","F-C","25.2","3","15.3","9.6","13.6","8","0.75","6","0.667","0","0","0.667","0.735","4.7","6.7","0","1.3","0","0.3","11.3","4.7","11.3","0","147.4","89.7"
"","A.J. Green","Mil","G","25.4","42","21.9","13.2","8.8","15","0.867","33","0.515","215","0.433","0.631","0.64","7.8","2.3","1.3","0.5","0.1","0.6","10.1","9","11.3","5.2","120.5","107.7"
"","Jaden Hardy","Dal","G","22.6","39","15.6","24.9","17","50","0.74","145","0.469","132","0.386","0.522","0.545","8.4","1.6","1.4","0.5","0.1","1.5","9.9","9.7","11.3","6.8","98.4","108.9"
"","Ryan Dunn","Pho","F","22.1","45","19.3","15.8","6.3","21","0.476","135","0.593","146","0.308","0.525","0.525","6.8","3.5","0.9","0.5","0.6","0.4","10.2","7.7","11.2","5.8","109.4","107.8"
"","Jonathan Isaac","Orl","F","27.3","47","16.5","16.7","7.5","75","0.667","128","0.547","118","0.246","0.461","0.496","5.9","4.8","0.5","0.8","1.3","0.4","10.7","6.4","11.2","5.9","110.3","102.5"
"","Cameron Payne","Nyk","G","30.5","45","14.3","21.1","9.8","37","0.892","100","0.47","167","0.389","0.541","0.568","7.2","1.4","2.5","0.6","0.2","0.6","8.6","9.7","11.1","8.2","121","106"
"","Nick Smith Jr.","Cha","G","20.8","30","17.7","19.9","11","11","0.818","97","0.454","121","0.355","0.498","0.507","7.5","1.9","1.6","0.4","0.2","0.9","9.4","9.1","11","6.4","101.8","113.8"
"","Jarace Walker","Ind","F","21.4","48","16.7","16.7","18.6","56","0.625","113","0.566","119","0.378","0.567","0.581","6.2","3.2","1.5","0.9","0.4","1.1","9.4","7.7","10.9","7.4","104.1","105.9"
"","Garrison Mathews","Atl","G","28.3","42","18","16","11","76","0.829","34","0.412","200","0.385","0.553","0.602","7.7","1.9","1.3","0.6","0.3","0.7","9.5","9","10.9","5.9","118","110"
"","Haywood Highsmith","Mia","F","28.2","47","24","11.4","12.1","26","0.692","102","0.578","144","0.396","0.587","0.596","6.5","3.1","1.2","0.9","0.6","0.7","9.6","7.7","10.9","4.8","114.6","108"
"","Dorian Finney-Smith","Lal","F","31.8","15","24.5","11.1","13.3","5","0.8","22","0.682","56","0.411","0.635","0.642","6.9","2.9","1","0.9","0","0.8","9.8","7.9","10.8","4.4","118.1","109.2"
"","Jonathan Mogbo","Tor","F","23.3","38","16.6","14.3","16","49","0.714","134","0.493","28","0.357","0.5","0.537","5.2","4.1","1.5","0.7","0.4","0.8","9.3","6.7","10.8","7.6","113.8","108.4"
"","Johnny Juzang","Uta","G","23.9","33","17.6","15.8","7.7","25","0.88","54","0.463","138","0.399","0.56","0.584","7.2","2.7","1","0.4","0.2","0.5","9.8","8.2","10.8","6.1","119.7","111.4"
"","Jared Butler","Was","G","24.5","32","11.3","25.9","14.1","45","0.778","135","0.519","41","0.366","0.526","0.562","6.9","1.3","2.6","0.4","0.2","0.9","8.2","9.4","10.7","10.1","114.3","113.9"
"","Jay Huff","Mem","C","27.5","44","12.9","19.5","10.9","48","0.771","77","0.727","152","0.421","0.664","0.682","7.8","2.2","0.7","0.3","0.9","0.6","10","8.4","10.6","7.1","126.7","105.2"
"","Sam Merrill","Cle","G","28.7","43","18.9","15.2","7.2","26","0.962","34","0.618","223","0.359","0.549","0.572","7.1","1.9","1.6","0.6","0.2","0.5","9","8.7","10.6","5.9","119.7","107.6"
"","Alex Caruso","Okc","G","30.9","29","19","14.2","10.6","12","0.75","66","0.515","94","0.287","0.466","0.478","5.4","2.7","2.4","1.7","0.5","0.7","8.1","7.9","10.6","6.9","108.2","97.8"
"","Kyle Anderson","Gol","F-G","31.4","36","15","15.6","10.6","27","0.667","117","0.487","52","0.365","0.506","0.522","5.3","3.1","2.3","0.7","0.6","0.6","8.3","7.5","10.6","8.9","116.3","107.8"
"","Kevin Love","Mia","F-C","36.4","19","10.9","25.7","11.6","19","0.684","41","0.341","58","0.362","0.46","0.484","5.5","4.1","1","0.7","0.1","0.7","9.5","6.5","10.5","10.4","100.6","100.6"
"","Jamal Shead","Tor","G","22.5","45","17","17.5","21.9","31","0.774","133","0.481","105","0.352","0.502","0.523","5.8","1.1","3.5","0.6","0.1","1.5","7","9.4","10.5","6.6","102.8","112.7"
"","Dru Smith","Mia","G","27.1","14","19.2","13.8","21.7","13","0.769","31","0.484","30","0.533","0.639","0.659","6.3","2.6","1.6","1.5","0.4","1.2","8.9","7.9","10.5","6.2","115.6","102.7"
"","Jaxson Hayes","Lal","C-F","24.7","28","17.4","11.9","17.8","44","0.75","90","0.678","2","0","0.663","0.696","5.5","4","1","0.5","0.9","0.7","9.6","6.5","10.5","6.4","132.3","103.5"
"","Terance Mann","Lac","G-F","28.3","37","19.8","13.8","11.3","32","0.719","120","0.508","75","0.347","0.513","0.533","6","2.9","1.6","0.8","0.3","0.7","8.9","7.6","10.5","6.1","111.9","104.6"
"","Javonte Green","Nor","G","31.5","46","22.1","11","11.4","66","0.758","112","0.509","97","0.371","0.531","0.571","5.9","3.6","0.9","1.1","0.6","0.6","9.5","6.8","10.4","4.8","116.8","116.2"
"","KJ Simpson","Cha","G","22.5","18","17.9","20.1","14.2","30","0.8","67","0.388","53","0.189","0.342","0.398","5.9","2.2","2.2","0.7","0.2","1.1","8.1","8.1","10.3","6.8","92.6","111.3"
"","Ricky Council IV","Phi","G","23.5","42","15.2","19.9","9.8","78","0.808","130","0.5","99","0.303","0.48","0.537","6.7","2.5","1.1","0.5","0.2","0.6","9.2","7.9","10.3","7","112","113.4"
"","Taylor Hendricks","Uta","F","21.2","3","24.8","12.3","9.8","4","0.75","6","0.167","12","0.25","0.306","0.354","4.7","5","0.7","1.7","1.3","0.7","9.7","5.3","10.3","4.1","87.5","108.7"
"","Torrey Craig","Chi","F","34.1","9","12.5","17.4","0","4","0.75","10","0.7","35","0.429","0.656","0.663","6.9","2.8","0.6","0.2","0.1","0","9.7","7.4","10.2","7.2","137.1","107.2"
"","KJ Martin","Phi","F","24.1","24","20","11.4","10.8","29","0.828","78","0.679","21","0.381","0.657","0.689","6.4","3","0.8","0.5","0.7","0.5","9.4","7.2","10.2","5","133.6","106.6"
"","Tre Jones","San","G","25.1","28","16.1","12.1","18.4","33","0.758","67","0.552","26","0.308","0.527","0.572","4.4","2.1","3.7","0.6","0.2","0.8","6.5","8.1","10.2","8.1","127.8","111.4"
"","Daniel Theis","Nor","F-C","32.8","38","16.4","11.6","16.2","37","0.838","92","0.565","37","0.243","0.508","0.558","4.3","4.3","1.6","0.5","0.5","0.7","8.6","5.8","10.2","7.5","118","109.7"
"","Kenrich Williams","Okc","G-F","30.2","38","14.4","15.6","10.9","17","0.882","88","0.625","84","0.369","0.59","0.607","5.7","3.3","1","0.7","0.1","0.6","9.1","6.8","10.1","7.4","121.2","96.9"
"","Ajay Mitchell","Okc","G","22.6","34","16.5","15.9","14.3","33","0.848","116","0.543","51","0.431","0.575","0.606","6.5","2","1.7","0.7","0.1","0.8","8.4","8.1","10.1","6.8","117.6","100.8"
"","Steven Adams","Hou","C","31.6","35","12.6","14","26.8","62","0.452","90","0.578","0","0","0.578","0.563","3.8","5.2","1.1","0.3","0.5","0.9","8.9","4.9","10.1","8.9","114","103.5"
"","Tidjane Salaun","Cha","F","19.5","35","18.5","14.6","14.4","35","0.686","67","0.388","111","0.279","0.407","0.437","4.8","4.1","1.1","0.6","0.2","0.9","8.9","5.9","10","6","94.4","109.9"
"","Simone Fontecchio","Det","F","29.2","46","17.6","15.8","12.6","59","0.814","94","0.489","148","0.338","0.5","0.541","6.3","2.8","0.8","0.4","0.2","0.8","9.2","7.2","10","5.5","107.5","111.2"
"","Eric Gordon","Phi","G","36.1","37","20.2","14.5","11.1","48","0.75","66","0.47","134","0.418","0.575","0.601","7.2","1.2","1.7","0.7","0.3","0.7","8.4","8.9","10","4.8","118.4","117.7"
"","Ronald Holland II","Det","F","19.6","51","15.5","18.5","14.2","64","0.797","167","0.581","104","0.26","0.507","0.545","6.4","2.7","0.8","0.6","0.1","0.9","9.1","7.2","9.9","6.2","104","104.8"
"","Bones Hyland","Lac","G","24.4","20","11.1","29.1","17.3","26","0.885","34","0.412","80","0.388","0.531","0.574","7.2","1.2","1.4","0.9","0.2","1.2","8.4","8.6","9.8","8.3","105.7","99.7"
"","Ben Sheppard","Ind","G","23.6","36","20.4","11.7","6.2","13","0.846","56","0.554","125","0.36","0.544","0.557","5.8","2.6","1.3","0.6","0.3","0.3","8.3","7.1","9.6","5.3","117.3","108.9"
"","Keaton Wallace","Atl","G","25.9","23","17.3","15.4","18.4","11","1","57","0.509","62","0.355","0.521","0.545","5.9","1.5","2.3","1","0.3","1.2","7.3","8.1","9.6","6.3","103.2","111.3"
"","Charles Bassey","San","C-F","24.3","32","10.8","18","16.6","33","0.636","110","0.573","0","0","0.573","0.59","4.6","4.6","0.4","0.4","0.9","0.7","9.2","5","9.6","7.5","115.4","100.5"
"","Isaac Okoro","Cle","F-G","24","28","19.7","11.9","7.7","25","0.72","53","0.472","78","0.397","0.546","0.567","5.8","2.1","1.6","0.7","0.4","0.4","7.8","7.4","9.5","5.5","124.4","106.8"
"","Neemias Queta","Bos","C","25.6","40","14.5","13.2","15.9","44","0.727","130","0.669","2","0","0.659","0.68","5.2","3.7","0.7","0.3","0.7","0.6","8.9","5.8","9.5","6.6","131.4","101"
"","Gary Payton II","Gol","G","32.2","40","13.5","15.8","14.6","29","0.724","112","0.688","51","0.216","0.574","0.592","5.2","3","1.3","0.7","0.3","0.7","8.2","6.5","9.5","8.1","115.9","102"
"","Mo Bamba","Lac","C","26.7","28","12.6","16.3","15.5","25","0.68","53","0.623","50","0.3","0.539","0.561","4.6","4.3","0.6","0.3","1","0.7","8.9","5.1","9.4","7.2","108.6","95.1"
"","Josh Okogie","Pho","G","26.4","25","14","18.2","12.3","32","0.688","72","0.556","42","0.381","0.561","0.586","6","2.9","0.6","0.8","0.4","0.6","8.9","6.6","9.4","6.2","115.6","111"
"","Kylor Kelley","Dal","C","27.5","4","13.6","9.9","9.7","6","0.667","9","0.778","0","0","0.778","0.773","4.5","4.5","0.3","0","0.5","0.3","9","4.8","9.3","5.4","156.4","106"
"","Richaun Holmes","Was","F","31.3","13","12.6","12.5","11.3","12","0.833","37","0.622","2","0","0.59","0.632","4.3","4.1","0.9","0.2","0.5","0.4","8.4","5.2","9.3","8","131.6","111.8"
"","Marcus Sasser","Det","G","24.4","40","13.9","18.3","16.1","24","0.917","94","0.585","98","0.337","0.544","0.57","5.8","1.3","2.3","0.7","0.1","0.9","7.1","8","9.3","7.4","113.5","109.1"
"","DaQuan Jeffries","Cha","G-F","27.4","17","17.4","12.6","9.5","9","0.889","32","0.531","44","0.386","0.559","0.582","5.5","2.8","0.9","0.7","0.4","0.5","8.3","6.4","9.2","5.5","119.7","106.5"
"","Matas Buzelis","Chi","F","20.3","50","14.2","17.7","10.4","50","0.8","129","0.488","121","0.364","0.516","0.548","6","2.8","0.4","0.3","0.9","0.6","8.8","6.4","9.2","5.3","105.4","110.2"
"","Lindy Waters III","Gol","F","27.5","38","17.2","14.5","7.6","11","0.727","57","0.474","148","0.331","0.49","0.498","5.5","2.6","1.1","0.6","0.3","0.4","8.1","6.6","9.2","5.8","104.4","108.4"
"","Kobe Bufkin","Atl","G","21.4","10","12.4","20.7","14.5","18","0.722","28","0.5","19","0.211","0.426","0.483","5.3","2.1","1.7","0.3","0.2","0.8","7.4","7","9.1","8.6","102","112.1"
"","Rob Dillingham","Min","G","20.1","27","11.6","23.6","21.5","7","0.429","79","0.532","52","0.423","0.573","0.571","5.7","1.1","2.3","0.3","0","1.3","6.8","8","9.1","8.4","104.8","108"
"","Dario Saric","Den","F-C","30.8","13","14.7","16","20.5","10","0.7","30","0.4","24","0.25","0.389","0.42","3.8","3.6","1.7","0.5","0.1","1.1","7.4","5.5","9.1","7.8","92.5","107"
"","Kyle Lowry","Phi","G","38.9","31","19.4","10.5","15.3","31","0.806","27","0.407","83","0.337","0.482","0.53","4.2","2","2.9","1","0.3","0.6","6.2","7.1","9.1","6","118.5","108.9"
"","Pat Connaughton","Mil","G","32.1","29","15.3","13.5","13","17","0.765","51","0.549","62","0.323","0.513","0.535","4.4","2.8","1.7","0.1","0.3","0.6","7.3","6.1","9","7.2","113.1","109.7"
"","DeAndre Jordan","Den","C","36.5","37","11.7","12.7","23","29","0.414","90","0.667","0","0","0.667","0.642","3.6","4.5","0.8","0.3","0.5","0.7","8.1","4.4","8.9","8","118.3","103.6"
"","Quenton Jackson","Ind","G","26.4","18","14.1","16.4","12.6","21","0.714","52","0.577","24","0.375","0.572","0.598","5.7","1.5","1.7","0.5","0.3","0.6","7.2","7.4","8.9","6.9","120.4","107.6"
"","Talen Horton-Tucker","Chi","G","24.2","40","11.5","21","12.4","48","0.729","103","0.515","81","0.383","0.541","0.57","5.9","1.7","1.3","0.4","0.2","0.7","7.6","7.2","8.9","8.2","111.5","112.2"
"","Zach Collins","San","F-C","27.2","36","11.8","17.1","14.8","35","0.886","86","0.547","46","0.304","0.515","0.566","4.6","2.8","1.4","0.4","0.4","0.6","7.4","6.1","8.9","8.9","118.6","100.1"
"","Alec Burks","Mia","G","33.6","26","16.1","13.9","7.4","26","0.808","28","0.357","84","0.429","0.571","0.604","5.7","2.1","1.1","0.6","0.2","0.3","7.8","6.8","8.9","5.9","121.9","112.4"
"","Andre Jackson Jr.","Mil","G","23.2","47","17.5","11.6","23.3","18","0.556","94","0.532","67","0.388","0.553","0.556","4","3.3","1.5","0.6","0.3","1","7.3","5.5","8.7","6.2","107.1","103.3"
"","Isaiah Wong","Cha","G","24","18","12.5","22.1","14.4","32","0.719","60","0.383","29","0.31","0.41","0.466","5.3","1.7","1.4","0.6","0","0.8","7","6.8","8.4","7.4","100.5","110.4"
"","Mouhamed Gueye","Atl","F","22.2","5","13.6","19.5","3.1","1","0","17","0.647","14","0.071","0.403","0.398","5","3","0.4","1","0.4","0.2","8","5.4","8.4","5.3","86.8","109.4"
"","Micah Potter","Uta","C","26.8","21","17.6","9.5","16.2","7","0.857","14","0.571","53","0.358","0.545","0.564","3.8","3.9","0.7","0.2","0.4","0.6","7.6","4.5","8.3","5","112.4","115.3"
"","David Roddy","Atl","F","23.9","27","12.8","14.4","17.6","22","0.818","50","0.56","43","0.372","0.559","0.594","4.5","2.6","1.1","0.4","0.3","0.7","7.1","5.6","8.2","7.3","110.4","112.6"
"","Marvin Bagley III","Was","F","25.9","19","8.8","23.1","13.4","23","0.652","61","0.59","10","0.2","0.549","0.573","4.9","2.9","0.4","0.4","0.3","0.6","7.8","5.3","8.2","8.1","112.5","114.5"
"","Jamison Battle","Tor","F","23.7","35","12.6","15.5","7.7","14","0.857","36","0.583","108","0.417","0.615","0.629","5.4","1.8","0.9","0.1","0.1","0.3","7.2","6.3","8.1","6.5","125.1","114.8"
"","Monte Morris","Pho","G","29.6","38","13","17.5","9","40","0.85","92","0.5","69","0.304","0.481","0.529","5","1.4","1.7","0.4","0.1","0.4","6.4","6.6","8.1","7","114.2","117.9"
"","Oso Ighodaro","Pho","F","22.6","40","15","10.8","17.5","36","0.528","106","0.585","2","0","0.574","0.577","3.6","3.3","1","0.5","0.4","0.6","6.9","4.6","7.9","6.1","115.3","108.5"
"","Trevelin Queen","Orl","G","28","23","15.2","17.1","15.1","13","0.846","53","0.472","59","0.271","0.438","0.463","4.7","1.7","1.4","1","0.3","0.9","6.5","6.1","7.9","5.9","96.8","102.6"
"","Paul Reed","Det","F","25.7","28","9.9","17.1","12.8","25","0.84","70","0.6","18","0.333","0.58","0.621","4.4","2.5","1","1.1","0.5","0.5","6.9","5.4","7.9","9","126.4","93.9"
"","Gabe Vincent","Lal","G","28.7","42","20.3","12.3","11.1","10","0.5","64","0.531","144","0.354","0.531","0.532","5.4","1.3","1.3","0.7","0.2","0.6","6.6","6.6","7.9","4.1","103.8","109.1"
"","Jordan Miller","Lac","G","25","29","12.8","19","14.8","33","0.788","90","0.511","36","0.222","0.46","0.505","4.9","1.8","1.1","0.5","0.2","0.8","6.7","6","7.8","6.7","103.3","109.2"
"","Ryan Rollins","Mil","G","22.6","33","12.2","18.9","18.1","23","0.826","77","0.545","58","0.362","0.544","0.572","5","1.5","1.2","0.7","0.4","0.9","6.5","6.2","7.7","6.8","104.9","102.8"
"","Gui Santos","Gol","F","22.6","26","12.5","12.8","17.5","19","0.632","27","0.593","48","0.417","0.613","0.624","4","2.6","1.2","0.3","0.1","0.6","6.6","5.2","7.7","7.4","121.6","105.9"
"","John Konchar","Mem","G","28.9","27","13.7","8.4","13.3","6","0.833","20","0.65","45","0.311","0.523","0.54","2.7","3.9","1.1","0.5","0.4","0.4","6.6","3.8","7.7","6.6","122.2","106.5"
"","Thomas Bryant","Mia","C-F","27.5","10","11.5","13.4","6.6","11","1","11","0.545","17","0.353","0.536","0.624","4.1","3.2","0.4","0.1","0.9","0.2","7.3","4.5","7.7","6","131","106.3"
"","Sandro Mamukelashvili","San","F-C","25.7","31","8.3","19.3","12.3","27","0.704","38","0.763","54","0.426","0.69","0.703","4.7","2.4","0.5","0.2","0.3","0.4","7.1","5.2","7.6","8.6","128.3","108"
"","Devin Carter","Sac","G","22.9","16","9.9","20.8","11.5","18","0.722","30","0.367","31","0.258","0.377","0.428","3.7","2.5","1.3","0.3","0.2","0.5","6.2","5","7.5","9.3","97","106.9"
"","Taze Moore","Por","G","26.6","2","10","27.3","16.4","2","0.5","6","0.167","4","0.25","0.25","0.276","3","4","0.5","1","0","1","7","3.5","7.5","7.3","71.7","114.7"
"","Bruno Fernando","Tor","F-C","26.5","17","8.6","19.1","22.1","8","0.75","49","0.531","0","0","0.531","0.552","3.4","3","1.1","0.2","0.5","0.8","6.4","4.5","7.5","10.4","107.1","98.8"
"","Nicolas Batum","Lac","G-F","36.1","49","17.5","8.5","12.9","14","0.786","25","0.44","116","0.379","0.546","0.561","3.4","2.8","1.3","0.6","0.4","0.4","6.2","4.7","7.5","5.3","119.7","104.8"
"","Cody Williams","Uta","F","20.2","26","21","11.7","15.5","22","0.636","57","0.368","63","0.238","0.363","0.389","3.9","2.2","1.3","0.5","0.4","0.8","6.1","5.2","7.4","4.3","86.3","114.9"
"","Seth Curry","Cha","G","34.5","41","13.6","15.2","8.8","18","0.889","84","0.5","91","0.451","0.591","0.61","5.4","1.4","0.6","0.4","0.1","0.4","6.8","6","7.4","4.9","119.3","113.5"
"","Cam Spencer","Mem","G","24.8","10","12.1","12.8","14.1","9","1","14","0.571","16","0.313","0.517","0.589","4","1.7","1.6","0.3","0.1","0.5","5.7","5.6","7.3","7.3","126.6","108"
"","Jock Landale","Hou","C","29.3","25","9.9","15.9","14.2","27","0.63","63","0.444","9","0.556","0.493","0.525","3.5","2.9","0.9","0.2","0.3","0.5","6.4","4.4","7.3","8.4","115.7","104.8"
"","Reggie Jackson","Phi","G","34.8","31","12.4","17.7","11.3","9","0.778","59","0.458","74","0.338","0.485","0.496","4.4","1.4","1.5","0.5","0.1","0.5","5.7","5.8","7.2","6.8","103.8","110.7"
"","Ousmane Dieng","Okc","F","21.7","29","11.4","16.2","12.6","16","0.688","45","0.556","59","0.288","0.486","0.504","3.9","2.3","0.9","0.5","0.2","0.5","6.2","4.8","7.1","7","104.5","100.7"
"","Maxi Kleber","Dal","F","33","34","18.7","8.6","19.3","21","0.762","47","0.511","49","0.265","0.453","0.489","3","2.8","1.3","0.3","0.5","0.7","5.8","4.3","7.1","4.7","104.3","109"
"","Jackson Rowe","Gol","F","28.1","2","14.6","12.8","0","2","0","1","0","7","0.286","0.375","0.338","3","3","1","1","0","0","6","4","7","5.7","83.5","98"
"","Josh Richardson","Mia","G","31.4","8","18.7","14.1","17.2","4","1","16","0.313","22","0.273","0.368","0.402","4","1.5","1.5","1","0.1","1","5.5","5.5","7","4.4","87.1","105.5"
"","Kris Murray","Por","F","24.5","43","13.5","13.8","11.9","32","0.438","93","0.581","62","0.258","0.503","0.503","4","2.1","0.9","0.4","0.2","0.5","6.1","4.8","7","5.8","107.6","115.5"
"","Jae'Sean Tate","Hou","F","29.3","32","11.4","14.1","11.9","37","0.676","74","0.554","22","0.273","0.521","0.557","3.9","2.2","0.9","0.6","0.1","0.4","6.1","4.8","7","6.9","120.3","96.4"
"","James Wiseman","Ind","C","23.9","1","4.6","45.9","0","2","1","3","0.667","1","0","0.5","0.615","6","1","0","0","0","0","7","6","7","0","123.7","119"
"","Orlando Robinson","Tor","C","24.6","7","11.1","18.3","21.2","13","0.769","18","0.444","4","0","0.364","0.469","3.7","2.7","0.4","0.4","0.3","0.9","6.4","4.1","6.9","5.7","93.9","98.9"
"","Elijah Harkless","Uta","G","25","9","15","12.6","7.8","6","0.5","10","0.4","25","0.28","0.414","0.425","3.6","2.3","0.9","1.1","0.1","0.3","5.9","4.4","6.8","5.2","102.4","107.7"
"","Jaylen Clark","Min","G","23.3","10","11.6","14.8","2.8","10","0.8","17","0.471","17","0.471","0.588","0.625","4.8","1.5","0.5","0.3","0.1","0.1","6.3","5.3","6.8","5.3","137","102.7"
"","Shake Milton","Lal","G","28.4","12","11.9","14","22.3","12","0.917","18","0.611","13","0.231","0.5","0.579","3.5","1.8","1.5","0.3","0.2","0.8","5.3","5","6.8","7.1","112","110.3"
"","Patty Mills","Uta","G","36.5","17","15.3","15","16.4","5","1","19","0.474","57","0.298","0.454","0.473","4.4","1.2","1.2","0.7","0.2","0.9","5.6","5.6","6.8","4.8","93.8","118.8"
"","Julian Phillips","Chi","F","21.3","50","13","13.7","10.4","44","0.727","81","0.58","91","0.319","0.526","0.557","4.3","2","0.4","0.4","0.2","0.4","6.3","4.7","6.7","4.6","112.9","111.7"
"","Jamal Cain","Nor","F","25.9","20","12.6","13.4","12.4","18","0.667","28","0.571","35","0.286","0.492","0.522","3.7","2.4","0.6","0.5","0.4","0.5","6.1","4.3","6.7","5.5","108.2","113.5"
"","Trentyn Flowers","Lac","F","19.9","2","7.9","28.5","9.6","1","1","7","0.571","2","0","0.444","0.477","4.5","2","0","0","0","0.5","6.5","4.5","6.5","0","91.3","93.5"
"","Olivier-Maxence Prosper","Dal","F","22.6","41","9.8","17.1","9.5","56","0.625","83","0.482","41","0.22","0.431","0.478","3.5","2.4","0.7","0.5","0.1","0.3","5.8","4.2","6.5","7.4","109.9","111.3"
"","Karlo Matkovic","Nor","F-C","23.9","13","11.3","11.8","25.4","5","1","21","0.429","8","0.375","0.466","0.513","2.5","3.4","0.7","0.5","0.8","0.8","5.8","3.2","6.5","6.4","101.6","106.1"
"","Dalen Terry","Chi","F","22.6","47","12.7","13.8","19.5","42","0.69","90","0.511","54","0.352","0.517","0.548","3.8","1.5","1.2","0.4","0.2","0.7","5.3","5","6.5","6","106.5","109.8"
"","Jabari Walker","Por","F","22.5","37","10.1","15.5","15.8","26","0.615","72","0.569","34","0.206","0.486","0.507","3.2","2.8","0.5","0.5","0.1","0.5","6","3.7","6.5","6.5","101.7","103.8"
"","Wendell Moore Jr.","Det","G","23.4","20","10.9","12.6","15.1","14","0.929","36","0.528","14","0.286","0.5","0.561","3.2","2.2","1.2","0.5","0.2","0.5","5.4","4.3","6.5","7.5","118.5","109.3"
"","Malaki Branham","San","F","21.7","30","9.6","22.2","19.8","20","0.85","60","0.467","53","0.396","0.527","0.558","4.5","1.1","0.9","0.2","0.1","0.9","5.6","5.4","6.5","6.9","96.4","113.9"
